County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	Early Voting	Absentee by Mail	Provisional	Total Votes	Real Precinct
CATAWBA	11/04/2025	04	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	05	3	C	TOWN OF CATAWBA COUNCILMEN	Crystal Spesert	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	05	3	C	TOWN OF CATAWBA COUNCILMEN	Duane McCombs	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	05	3	C	TOWN OF CATAWBA COUNCILMEN	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	4	C	CITY OF CLAREMONT MAYOR	Shawn R. Brown	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	4	C	CITY OF CLAREMONT MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	5	C	CITY OF CLAREMONT COUNCILMEN	Alex Tenjhay	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	5	C	CITY OF CLAREMONT COUNCILMEN	Dayne L. Miller	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	5	C	CITY OF CLAREMONT COUNCILMEN	Les Morrow	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	5	C	CITY OF CLAREMONT COUNCILMEN	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	6	C	CITY OF CONOVER MAYOR	Kyle J. Hayman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	6	C	CITY OF CONOVER MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Brenda Powell	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Chad Schuermeyer	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Dan Von Dohlen	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Justin Barringer	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Kevin Dill	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Mark Canrobert	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	7	C	CITY OF CONOVER COUNCILMEN	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Ralph Hatch	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Todd S. Griffin	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	06	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	6	C	CITY OF CONOVER MAYOR	Kyle J. Hayman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	6	C	CITY OF CONOVER MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Brenda Powell	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Chad Schuermeyer	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Dan Von Dohlen	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Justin Barringer	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Kevin Dill	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Mark Canrobert	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	7	C	CITY OF CONOVER COUNCILMEN	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Ralph Hatch	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Todd S. Griffin	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	07	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	6	C	CITY OF CONOVER MAYOR	Kyle J. Hayman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	6	C	CITY OF CONOVER MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Brenda Powell	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Chad Schuermeyer	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Dan Von Dohlen	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Justin Barringer	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Kevin Dill	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Mark Canrobert	 	2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	7	C	CITY OF CONOVER COUNCILMEN	Write-In (Miscellaneous)		2	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Bill Powell	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Ed Sain	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	John Stiver	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Kassandra Gray	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Marcus Miller	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Patrick Sterchi	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Recil Wright	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Roy Johnson	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Scott Gilleland	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	17	C	CITY OF NEWTON COUNCIL	Write-In (Miscellaneous)		3	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Ralph Hatch	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Todd S. Griffin	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	08	18	C	CITY OF CONOVER COUNCILMAN (UNEXPIRED)	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180015	C	TOWN OF MAIDEN MAYOR	Danny Lee Kiser	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180015	C	TOWN OF MAIDEN MAYOR	Max Bumgarner, Jr.	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180015	C	TOWN OF MAIDEN MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Beth Poovey Rudisill	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Bob Sigmon	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Cameron D. Ramseur	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Deon Henry	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Lanny Ford	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Wes Stroupe	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Write-In (Miscellaneous)		3	0	0	0	0	0	Y
CATAWBA	11/04/2025	09	180016	C	TOWN OF MAIDEN COUNCILMEN	Zane Reid Hudson	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Bill Powell	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Ed Sain	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	John Stiver	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Kassandra Gray	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Marcus Miller	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Patrick Sterchi	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Recil Wright	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Roy Johnson	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Scott Gilleland	 	3	0	0	0	0	0	Y
CATAWBA	11/04/2025	10	17	C	CITY OF NEWTON COUNCIL	Write-In (Miscellaneous)		3	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	11	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	12	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	13	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	14	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	15	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	16	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	13	C	TOWN OF LONG VIEW ALDERMAN WARD 02	Gary Lingerfelt	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	13	C	TOWN OF LONG VIEW ALDERMAN WARD 02	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	120012	C	TOWN OF LONG VIEW ALDERMAN WARD 05	Phyllis Pennington	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	120012	C	TOWN OF LONG VIEW ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Anthony J. Freeman	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180009	C	CITY OF HICKORY ALDERMAN WARD 04	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Arnita M. Dula	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180010	C	CITY OF HICKORY ALDERMAN WARD 05	David Zagaroli	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180010	C	CITY OF HICKORY ALDERMAN WARD 05	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Jill Patton	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180011	C	CITY OF HICKORY ALDERMAN WARD 06	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180012	C	TOWN OF LONG VIEW MAYOR	Eddie Marlowe	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180012	C	TOWN OF LONG VIEW MAYOR	Marla G. Thompson	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	17	180012	C	TOWN OF LONG VIEW MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
CATAWBA	11/04/2025	19	180008	C	CITY OF HICKORY MAYOR	Hank Guess	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	19	180008	C	CITY OF HICKORY MAYOR	Park Inglefield	 	1	0	0	0	0	0	Y
CATAWBA	11/04/2025	19	180008	C	CITY OF HICKORY MAYOR	Write-In (Miscellaneous)		1	0	0	0	0	0	Y
